Name,URL,TEAM_ID
Arizona Diamondbacks,http://www.baseball-reference.com/teams/ARI/,ARI
Atlanta Braves,http://www.baseball-reference.com/teams/ATL/,ATL
Baltimore Orioles,http://www.baseball-reference.com/teams/BAL/,BAL
Boston Red Sox,http://www.baseball-reference.com/teams/BOS/,BOS
Chicago Cubs,http://www.baseball-reference.com/teams/CHC/,CHC
Chicago White Sox,http://www.baseball-reference.com/teams/CHW/,CHW
Cincinnati Reds,http://www.baseball-reference.com/teams/CIN/,CIN
Cleveland Guardians,http://www.baseball-reference.com/teams/CLE/,CLE
Colorado Rockies,http://www.baseball-reference.com/teams/COL/,COL
Detroit Tigers,http://www.baseball-reference.com/teams/DET/,DET
Houston Astros,http://www.baseball-reference.com/teams/HOU/,HOU
Kansas City Royals,http://www.baseball-reference.com/teams/KCR/,KCR
Los Angeles Angels,http://www.baseball-reference.com/teams/ANA/,ANA
Los Angeles Dodgers,http://www.baseball-reference.com/teams/LAD/,LAD
Miami Marlins,http://www.baseball-reference.com/teams/FLA/,FLA
Milwaukee Brewers,http://www.baseball-reference.com/teams/MIL/,MIL
Minnesota Twins,http://www.baseball-reference.com/teams/MIN/,MIN
New York Mets,http://www.baseball-reference.com/teams/NYM/,NYM
New York Yankees,http://www.baseball-reference.com/teams/NYY/,NYY
Oakland Athletics,http://www.baseball-reference.com/teams/OAK/,OAK
Philadelphia Phillies,http://www.baseball-reference.com/teams/PHI/,PHI
Pittsburgh Pirates,http://www.baseball-reference.com/teams/PIT/,PIT
San Diego Padres,http://www.baseball-reference.com/teams/SDP/,SDP
San Francisco Giants,http://www.baseball-reference.com/teams/SFG/,SFG
Seattle Mariners,http://www.baseball-reference.com/teams/SEA/,SEA
St. Louis Cardinals,http://www.baseball-reference.com/teams/STL/,STL
Tampa Bay Rays,http://www.baseball-reference.com/teams/TBD/,TBD
Texas Rangers,http://www.baseball-reference.com/teams/TEX/,TEX
Toronto Blue Jays,http://www.baseball-reference.com/teams/TOR/,TOR
Washington Nationals,http://www.baseball-reference.com/teams/WSN/,WSN
